# category	op	marker	test_file
unary_pointwise	abs	abs	tests/test_unary_pointwise_ops.py
unary_pointwise	bitwise_not	bitwise_not	tests/test_unary_pointwise_ops.py
unary_pointwise	cos	cos	tests/test_unary_pointwise_ops.py
unary_pointwise	exp	exp	tests/test_unary_pointwise_ops.py
unary_pointwise	isinf	isinf	tests/test_unary_pointwise_ops.py
unary_pointwise	logical_not	logical_not	tests/test_unary_pointwise_ops.py
unary_pointwise	neg	neg	tests/test_unary_pointwise_ops.py
unary_pointwise	relu	relu	tests/test_unary_pointwise_ops.py
unary_pointwise	rsqrt	rsqrt	tests/test_unary_pointwise_ops.py
unary_pointwise	sigmoid	sigmoid	tests/test_unary_pointwise_ops.py
unary_pointwise	silu	silu	tests/test_unary_pointwise_ops.py
unary_pointwise	sin	sin	tests/test_unary_pointwise_ops.py
binary_pointwise	add	add	tests/test_binary_pointwise_ops.py
binary_pointwise	bitwise_and	bitwise_and	tests/test_binary_pointwise_ops.py
binary_pointwise	bitwise_or	bitwise_or	tests/test_binary_pointwise_ops.py
binary_pointwise	eq	eq	tests/test_binary_pointwise_ops.py
binary_pointwise	ge	ge	tests/test_binary_pointwise_ops.py
binary_pointwise	gt	gt	tests/test_binary_pointwise_ops.py
binary_pointwise	le	le	tests/test_binary_pointwise_ops.py
binary_pointwise	logical_and	logical_and	tests/test_binary_pointwise_ops.py
binary_pointwise	logical_or	logical_or	tests/test_binary_pointwise_ops.py
binary_pointwise	logical_xor	logical_xor	tests/test_binary_pointwise_ops.py
binary_pointwise	lt	lt	tests/test_binary_pointwise_ops.py
binary_pointwise	maximum	maximum	tests/test_binary_pointwise_ops.py
binary_pointwise	minimum	minimum	tests/test_binary_pointwise_ops.py
binary_pointwise	mul	mul	tests/test_binary_pointwise_ops.py
binary_pointwise	ne	ne	tests/test_binary_pointwise_ops.py
binary_pointwise	sub	sub	tests/test_binary_pointwise_ops.py
blas	bmm	bmm	tests/test_blas_ops.py
blas	mv	mv	tests/test_blas_ops.py
norm	groupnorm	group_norm	tests/test_norm_ops.py
reduction	select_scatter	select_scatter	tests/test_reduction_ops.py
special	diag	diag	tests/test_special_ops.py
special	embedding	embedding	tests/test_special_ops.py
special	hstack	hstack	tests/test_special_ops.py
special	vstack	vstack	tests/test_special_ops.py
